2025-12-01 00:26:56, James, 10.1.1.9: LOGON_FAILED
2025-12-01 06:02:35, Doe, 10.1.1.7: LOGON
2025-12-01 06:10:08, Doe, 10.1.1.7: LOGON
2025-12-01 06:26:18, Alice, 10.1.1.2: LOGON
2025-12-01 06:28:01, Dean, 10.1.1.5: LOGON_FAILED
2025-12-01 06:44:54, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 06:47:50, James, 10.1.1.9: FILE_ACCESS
2025-12-01 06:53:40, Doe, 10.1.1.7: LOGON_FAILED
2025-12-01 06:54:25, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 06:58:45, Alice, 10.1.1.2: FILE_ACCESS
2025-12-01 07:06:18, James, 10.1.1.9: LOGON
2025-12-01 07:11:52, Doe, 10.1.1.7: LOGON_FAILED
2025-12-01 07:21:32, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 07:50:56, James, 10.1.1.9: LOGOFF
2025-12-01 08:27:46, Alice, 10.1.1.2: LOGOFF
2025-12-01 08:29:01, James, 10.1.1.9: LOGOFF
2025-12-01 08:51:58, Alice, 10.1.1.2: FILE_ACCESS
2025-12-01 09:41:55, Dean, 10.1.1.5: LOGON_FAILED
2025-12-01 10:00:17, Dean, 10.1.1.5: LOGOFF
2025-12-01 10:02:43, Alice, 10.1.1.2: LOGOFF
2025-12-01 10:40:49, Alice, 10.1.1.2: LOGON
2025-12-01 11:18:44, James, 10.1.1.9: LOGON_FAILED
2025-12-01 11:23:25, Alice, 10.1.1.2: LOGON
2025-12-01 11:38:48, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 11:52:08, Alice, 10.1.1.2: LOGOFF
2025-12-01 12:04:31, Doe, 10.1.1.7: LOGOFF
2025-12-01 12:10:06, James, 10.1.1.9: LOGOFF
2025-12-01 12:22:54, Dean, 10.1.1.5: LOGON
2025-12-01 12:30:26, James, 10.1.1.9: FILE_ACCESS
2025-12-01 12:37:03, Alice, 10.1.1.2: LOGON
2025-12-01 12:47:00, Alice, 10.1.1.2: LOGON
2025-12-01 13:14:29, Dean, 10.1.1.5: LOGON_FAILED
2025-12-01 13:18:47, Doe, 10.1.1.7: LOGON
2025-12-01 13:27:57, James, 10.1.1.9: LOGON_FAILED
2025-12-01 13:31:54, Doe, 10.1.1.7: LOGON
2025-12-01 13:36:28, Doe, 10.1.1.7: LOGOFF
2025-12-01 13:41:33, Dean, 10.1.1.5: LOGOFF
2025-12-01 13:49:43, Dean, 10.1.1.5: LOGON
2025-12-01 14:05:01, Dean, 10.1.1.5: LOGOFF
2025-12-01 14:16:28, Alice, 10.1.1.2: LOGON_FAILED
2025-12-01 14:52:25, Alice, 10.1.1.2: LOGON
2025-12-01 15:08:48, James, 10.1.1.9: LOGON
2025-12-01 15:21:43, Alice, 10.1.1.2: LOGOFF
2025-12-01 15:25:49, Alice, 10.1.1.2: LOGON
2025-12-01 15:51:42, Doe, 10.1.1.7: LOGOFF
2025-12-01 15:53:00, Dean, 10.1.1.5: LOGON
2025-12-01 15:57:01, Dean, 10.1.1.5: FILE_ACCESS
2025-12-01 16:21:38, James, 10.1.1.9: LOGOFF
2025-12-01 16:35:44, Doe, 10.1.1.7: LOGOFF
2025-12-01 16:57:32, Doe, 10.1.1.7: LOGOFF
2025-12-01 17:06:27, James, 10.1.1.9: LOGON
2025-12-01 17:27:24, Alice, 10.1.1.2: LOGOFF
2025-12-01 17:50:15, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 17:58:28, Dean, 10.1.1.5: LOGOFF
2025-12-01 18:00:43, Doe, 10.1.1.7: LOGOFF
2025-12-01 18:01:19, Alice, 10.1.1.2: LOGON_FAILED
2025-12-01 18:09:05, James, 10.1.1.9: LOGON
2025-12-01 18:49:41, Alice, 10.1.1.2: LOGOFF
2025-12-01 18:53:12, Dean, 10.1.1.5: LOGON
2025-12-01 19:03:55, Dean, 10.1.1.5: FILE_ACCESS
2025-12-01 19:57:59, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 20:13:20, Alice, 10.1.1.2: FILE_ACCESS
2025-12-01 20:44:22, Doe, 10.1.1.7: LOGON_FAILED
2025-12-01 21:39:44, James, 10.1.1.9: FILE_ACCESS
2025-12-01 21:40:39, Dean, 10.1.1.5: LOGOFF
2025-12-01 22:02:26, James, 10.1.1.9: LOGON
2025-12-01 22:26:24, Alice, 10.1.1.2: LOGON
2025-12-01 22:28:27, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 22:57:43, Dean, 10.1.1.5: LOGON_FAILED
2025-12-01 23:13:45, James, 10.1.1.9: LOGON
